token_lower,total_count,initial_upper_count,all_upper_count,initial_upper_ratio,all_upper_ratio
agnus,35,23,0,0.6571428571428571,0.0
agnèle,9,9,0,1.0,0.0
agnès,1863,1863,88,1.0,0.04723564143853999
agobar,379,379,0,1.0,0.0
agora,21,7,0,0.3333333333333333,0.0
agost,17,17,0,1.0,0.0
agostin,228,228,0,1.0,0.0
agostini,12,12,0,1.0,0.0
agostino,67,67,0,1.0,0.0
agra,230,230,4,1.0,0.017391304347826087
agraïne,7,7,0,1.0,0.0
agree,47,10,10,0.2127659574468085,0.2127659574468085
agricol,822,821,0,0.9987834549878345,0.0
agricola,61,59,0,0.9672131147540983,0.0
agricultural,5,5,0,1.0,0.0
agrigente,56,56,0,1.0,0.0
agrippa,138,75,0,0.5434782608695652,0.0
agrippine,176,176,0,1.0,0.0
agrève,40,40,5,1.0,0.125
agréda,8,8,0,1.0,0.0
agréez,166,121,0,0.7289156626506024,0.0
agua,28,20,0,0.7142857142857143,0.0
aguado,26,26,0,1.0,0.0
agubeil,11,11,0,1.0,0.0
aguedal,8,8,0,1.0,0.0
aguesseau,42,42,0,1.0,0.0
aguilar,36,36,0,1.0,0.0
aguirre,15,15,0,1.0,0.0
aguite,40,40,1,1.0,0.025
agut,10,10,0,1.0,0.0
agé,29,29,1,1.0,0.034482758620689655
agée,12,9,1,0.75,0.08333333333333333
agénor,1686,1686,1,1.0,0.0005931198102016608
agésilas,18,18,0,1.0,0.0
ah,102718,92804,16,0.9034833232734282,0.00015576627270780195
aharon,23,23,0,1.0,0.0
ahasverus,5,5,0,1.0,0.0
ahasvérus,21,21,0,1.0,0.0
ahead,63,42,1,0.6666666666666666,0.015873015873015872
aher,19,19,0,1.0,0.0
ahh,76,69,0,0.9078947368421053,0.0
ahi,12,6,0,0.5,0.0
ahl,5,5,0,1.0,0.0
ahlefeld,101,101,0,1.0,0.0
ahmar,18,18,0,1.0,0.0
ahmed,62,62,0,1.0,0.0
ahmet,28,28,0,1.0,0.0
ahmosis,10,10,0,1.0,0.0
ahmès,22,22,0,1.0,0.0
ahrenfeld,8,8,0,1.0,0.0
ahès,298,298,0,1.0,0.0
ahélya,497,497,0,1.0,0.0
aia,7,7,5,1.0,0.7142857142857143
aias,6,6,0,1.0,0.0
aich,10,10,0,1.0,0.0
aidez,682,265,0,0.3885630498533724,0.0
aigle,2271,755,3,0.33245266402465873,0.001321003963011889
aiglemont,150,150,0,1.0,0.0
aigleroche,30,30,0,1.0,0.0
aiglon,86,43,1,0.5,0.011627906976744186
aignan,144,144,1,1.0,0.006944444444444444
aigoual,18,18,0,1.0,0.0
aigrefeuille,75,75,0,1.0,0.0
aigrigny,735,735,0,1.0,0.0
aiguardente,27,27,0,1.0,0.0
aiguebelle,37,37,0,1.0,0.0
aiguebelles,5,5,0,1.0,0.0
aigueblanche,48,48,0,1.0,0.0
aigueblande,48,48,0,1.0,0.0
aigueboulide,6,6,0,1.0,0.0
aiguebère,7,7,0,1.0,0.0
aigues,354,328,2,0.9265536723163842,0.005649717514124294
aiguillerie,11,11,0,1.0,0.0
aiguillon,527,127,0,0.2409867172675522,0.0
aiguisettes,5,5,0,1.0,0.0
aigurande,18,18,0,1.0,0.0
aillane,46,46,0,1.0,0.0
ailleboust,6,6,0,1.0,0.0
ailly,30,29,0,0.9666666666666667,0.0
aimard,14,14,3,1.0,0.21428571428571427
aimeri,6,6,0,1.0,0.0
aimery,273,273,0,1.0,0.0
aimon,15,15,0,1.0,0.0
aimonete,5,5,0,1.0,0.0
ain,81,66,2,0.8148148148148148,0.024691358024691357
ainay,6,6,0,1.0,0.0
ains,30,10,0,0.3333333333333333,0.0
airam,14,14,0,1.0,0.0
aires,148,104,0,0.7027027027027027,0.0
airiau,16,16,0,1.0,0.0
airoles,13,13,0,1.0,0.0
airvault,156,156,1,1.0,0.00641025641025641
aisne,100,100,1,1.0,0.01
aissi,6,6,0,1.0,0.0
aita,20,5,0,0.25,0.0
aix,669,667,7,0.9970104633781763,0.01046337817638266
ajaccio,134,134,0,1.0,0.0
ajalbert,5,5,0,1.0,0.0
ajame,16,16,0,1.0,0.0
ajamil,27,27,0,1.0,0.0
ajax,114,114,0,1.0,0.0
ajoutez,690,343,0,0.4971014492753623,0.0
ajoutons,357,252,0,0.7058823529411765,0.0
ajuda,81,81,0,1.0,0.0
ajut,7,7,0,1.0,0.0
ak,7,6,5,0.8571428571428571,0.7142857142857143
akabah,28,28,0,1.0,0.0
akasaba,5,5,0,1.0,0.0
akbar,35,33,0,0.9428571428571428,0.0
akelma,27,27,0,1.0,0.0
akhaiens,6,6,0,1.0,0.0
akime,12,12,0,1.0,0.0
akki,22,22,0,1.0,0.0
akmatcha,8,8,0,1.0,0.0
al,191,63,5,0.3298429319371728,0.02617801047120419
ala,13,10,3,0.7692307692307693,0.23076923076923078
alabama,27,27,0,1.0,0.0
alacoque,126,126,0,1.0,0.0
aladdin,5,5,0,1.0,0.0
aladin,46,45,0,0.9782608695652174,0.0
alagoas,8,8,0,1.0,0.0
alain,2603,2603,0,1.0,0.0
alains,8,8,0,1.0,0.0
alais,72,71,2,0.9861111111111112,0.027777777777777776
alameda,12,12,0,1.0,0.0
alan,10,10,0,1.0,0.0
alanck,26,26,0,1.0,0.0
alaor,122,122,1,1.0,0.00819672131147541
alarcaon,14,14,0,1.0,0.0
alarde,15,15,0,1.0,0.0
alari,11,11,0,1.0,0.0
alaric,36,36,1,1.0,0.027777777777777776
alarm,7,5,0,0.7142857142857143,0.0
alary,7,7,0,1.0,0.0
alas,81,79,0,0.9753086419753086,0.0
alaska,35,35,0,1.0,0.0
alaster,5,5,0,1.0,0.0
alaure,12,11,0,0.9166666666666666,0.0
alaurence,11,10,10,0.9090909090909091,0.9090909090909091
alava,21,21,0,1.0,0.0
alavoine,9,9,0,1.0,0.0
alavoy,12,12,0,1.0,0.0
alba,222,221,0,0.9954954954954955,0.0
albaceyte,6,6,0,1.0,0.0
albacète,13,13,0,1.0,0.0
alban,1089,1089,2,1.0,0.0018365472910927456
albanais,108,87,0,0.8055555555555556,0.0
albanaise,28,16,0,0.5714285714285714,0.0
albane,37,36,0,0.972972972972973,0.0
albanese,5,5,0,1.0,0.0
albani,151,151,1,1.0,0.006622516556291391
albanie,57,57,0,1.0,0.0
albano,142,142,0,1.0,0.0
albanoni,9,9,0,1.0,0.0
albans,135,135,4,1.0,0.02962962962962963
albany,112,112,0,1.0,0.0
albaram,36,36,0,1.0,0.0
albaran,284,284,0,1.0,0.0
albaret,6,6,0,1.0,0.0
albatros,264,124,0,0.4696969696969697,0.0
albaycin,8,8,0,1.0,0.0
albaïzin,67,67,0,1.0,0.0
albe,201,196,0,0.9751243781094527,0.0
albemare,15,15,0,1.0,0.0
albemarle,9,9,0,1.0,0.0
albenga,9,9,0,1.0,0.0
alber,39,39,0,1.0,0.0
albergo,31,19,0,0.6129032258064516,0.0
albergotti,131,131,0,1.0,0.0
alberic,48,48,0,1.0,0.0
alberich,31,31,0,1.0,0.0
albermale,5,5,0,1.0,0.0
albern,10,10,0,1.0,0.0
alberoni,88,88,0,1.0,0.0
albert,7296,7295,39,0.9998629385964912,0.005345394736842105
alberta,13,13,0,1.0,0.0
alberte,945,945,1,1.0,0.0010582010582010583
alberti,24,24,2,1.0,0.08333333333333333
albertine,2435,2435,1,1.0,0.0004106776180698152
albertinelli,24,24,0,1.0,0.0
albertines,6,6,0,1.0,0.0
alberto,108,108,1,1.0,0.009259259259259259
albertus,6,6,0,1.0,0.0
albertville,16,16,0,1.0,0.0
albestroff,8,8,0,1.0,0.0
albi,14,14,0,1.0,0.0
albiac,58,58,0,1.0,0.0
albigeois,35,27,0,0.7714285714285715,0.0
albigny,21,21,0,1.0,0.0
albin,78,78,3,1.0,0.038461538461538464
albine,359,359,0,1.0,0.0
albingen,97,97,0,1.0,0.0
albinik,150,150,1,1.0,0.006666666666666667
albion,188,188,0,1.0,0.0
albis,9,6,0,0.6666666666666666,0.0
albon,60,60,1,1.0,0.016666666666666666
alboni,10,10,0,1.0,0.0
albot,57,57,1,1.0,0.017543859649122806
albourgham,52,52,0,1.0,0.0
albouy,35,35,0,1.0,0.0
albrecht,8,8,0,1.0,0.0
albret,304,304,1,1.0,0.003289473684210526
albrège,5,5,0,1.0,0.0
albufex,57,57,0,1.0,0.0
albuquerque,34,34,0,1.0,0.0
alby,21,21,0,1.0,0.0
albârt,8,8,0,1.0,0.0
albéric,613,613,1,1.0,0.0016313213703099511
albérie,5,5,0,1.0,0.0
alca,82,82,8,1.0,0.0975609756097561
alcala,65,64,0,0.9846153846153847,0.0
alcantara,53,53,1,1.0,0.018867924528301886
alcazar,184,151,2,0.8206521739130435,0.010869565217391304
alcaçar,8,8,0,1.0,0.0
alceste,84,84,1,1.0,0.011904761904761904
alcibiade,147,147,0,1.0,0.0
alcibiades,10,10,0,1.0,0.0
alcide,767,757,144,0.9869621903520208,0.1877444589308996
alcides,7,5,0,0.7142857142857143,0.0
alcindor,125,125,0,1.0,0.0
alcine,13,13,1,1.0,0.07692307692307693
alcinoüs,8,8,0,1.0,0.0
alcmène,28,28,0,1.0,0.0
alcofribas,19,19,0,1.0,0.0
alcolote,9,9,0,1.0,0.0
alcor,9,9,0,1.0,0.0
alcoran,6,6,0,1.0,0.0
alcott,67,67,0,1.0,0.0
alcoy,116,116,0,1.0,0.0
alcyndore,61,61,1,1.0,0.01639344262295082
alcyon,51,24,0,0.47058823529411764,0.0
alcée,30,30,6,1.0,0.2
