token_lower,spacy_form,spacy_pos,spacy_lemma
albanese,Albanese,PROPN,Albanese
albani,Albani,PROPN,Albani
albanie,Albanie,PROPN,Albanie
albano,Albano,PROPN,Albano
albanoni,Albanoni,PROPN,Albanoni
albans,Albans,PROPN,Albans
albany,Albany,PROPN,Albany
albaran,Albaran,PROPN,Albaran
albaret,Albaret,PROPN,Albaret
albatros,Albatros,PROPN,Albatros
albaycin,Albaycin,PROPN,Albaycin
albemare,Albemare,PROPN,Albemare
albemarle,Albemarle,PROPN,Albemarle
albenga,Albenga,PROPN,Albenga
alber,Alber,PROPN,Alber
albergo,Albergo,PROPN,Albergo
albergotti,Albergotti,PROPN,Albergotti
alberic,Alberic,PROPN,Alberic
alberich,Alberich,PROPN,Alberich
albern,Albern,PROPN,Albern
alberoni,Alberoni,PROPN,Alberoni
albert,Albert,PROPN,Albert
alberta,Alberta,PROPN,Alberta
alberti,Alberti,PROPN,Alberti
albertine,Albertine,PROPN,Albertine
albertinelli,Albertinelli,PROPN,Albertinelli
alberto,Alberto,PROPN,Alberto
albertus,Albertus,PROPN,Albertus
albertville,Albertville,PROPN,Albertville
albestroff,Albestroff,PROPN,Albestroff
albi,Albi,PROPN,Albi
albiac,Albiac,PROPN,Albiac
albigeois,Albigeois,PROPN,Albigeois
albigny,Albigny,PROPN,Albigny
albin,Albin,PROPN,Albin
albingen,Albingen,PROPN,Albingen
albinik,Albinik,PROPN,Albinik
albot,Albot,PROPN,Albot
albourgham,Albourgham,PROPN,Albourgham
albouy,Albouy,PROPN,Albouy
albrecht,Albrecht,PROPN,Albrecht
albret,Albret,PROPN,Albret
albrège,Albrège,PROPN,Albrège
albufex,Albufex,PROPN,Albufex
albuquerque,Albuquerque,PROPN,Albuquerque
alby,Alby,PROPN,Alby
albârt,Albârt,PROPN,Albârt
albéric,Albéric,PROPN,Albéric
alca,Alca,PROPN,Alca
alcala,Alcala,PROPN,Alcala
alcantara,Alcantara,PROPN,Alcantara
alcazar,Alcazar,PROPN,Alcazar
alcaçar,Alcaçar,PROPN,Alcaçar
alceste,Alceste,PROPN,Alceste
alcibiades,Alcibiades,PROPN,Alcibiades
alcindor,Alcindor,PROPN,Alcindor
alcine,Alcine,PROPN,Alcine
alcinoüs,Alcinoüs,PROPN,Alcinoüs
alcmène,Alcmène,PROPN,Alcmène
alcor,Alcor,PROPN,Alcor
alcoran,Alcoran,PROPN,Alcoran
alcott,Alcott,PROPN,Alcott
alcoy,Alcoy,PROPN,Alcoy
alcyon,Alcyon,PROPN,Alcyon
alcée,Alcée,PROPN,Alcée
aldaboro,Aldaboro,PROPN,Aldaboro
aldao,Aldao,PROPN,Aldao
aldaïa,Aldaïa,PROPN,Aldaïa
alde,Alde,PROPN,Alde
aldebaran,Aldebaran,PROPN,Aldebaran
aldebert,Aldebert,PROPN,Aldebert
aldebrand,Aldebrand,PROPN,Aldebrand
aldegonde,Aldegonde,PROPN,Aldegonde
aldgate,Aldgate,PROPN,Aldgate
aldine,Aldine,PROPN,Aldine
aldini,Aldini,PROPN,Aldini
aldo,Aldo,PROPN,Aldo
aldric,Aldric,PROPN,Aldric
aldrige,Aldrige,PROPN,Aldrige
aldrigger,Aldrigger,PROPN,Aldrigger
aldwell,Aldwell,PROPN,Aldwell
aldébaran,Aldébaran,PROPN,Aldébaran
aldée,Aldée,PROPN,Aldée
alea,Alea,PROPN,Alea
alec,Alec,PROPN,Alec
alembert,Alembert,PROPN,Alembert
alemguir,Alemguir,PROPN,Alemguir
alencar,Alencar,PROPN,Alencar
aleo,Aleo,PROPN,Aleo
alep,Alep,PROPN,Alep
alepian,Alepian,PROPN,Alepian
alescar,Alescar,PROPN,Alescar
alessandri,Alessandri,PROPN,Alessandri
aleth,Aleth,PROPN,Aleth
alex,Alex,PROPN,Alex
alexander,Alexander,PROPN,Alexander
alexandra,Alexandra,PROPN,Alexandra
alexandre,Alexandre,PROPN,Alexandre
alexandrine,Alexandrine,PROPN,Alexandrine
alexandrovitch,Alexandrovitch,PROPN,Alexandrovitch
alexandrovna,Alexandrovna,PROPN,Alexandrovna
alexei,Alexei,PROPN,Alexei
alexievna,Alexievna,PROPN,Alexievna
alexine,Alexine,PROPN,Alexine
alexiovitch,Alexiovitch,PROPN,Alexiovitch
alexis,Alexis,PROPN,Alexis
alexy,Alexy,PROPN,Alexy
aleyron,Aleyron,PROPN,Aleyron
alezia,Alezia,PROPN,Alezia
alfanie,Alfanie,PROPN,Alfanie
alfarey,Alfarey,PROPN,Alfarey
alfaye,Alfaye,PROPN,Alfaye
