word,global_frequency,pos,lemma,is_stopword,is_proper_noun_candidate,is_content_pos
attendait,20359,VERB,attendre,False,False,True
passa,20356,VERB,passer,False,False,True
coin,20299,NOUN,coin,False,False,True
diable,20143,NOUN,diable,False,False,True
contraire,20143,ADJ,contraire,False,False,True
donnait,20094,VERB,donner,False,False,True
émotion,20083,NOUN,émotion,False,False,True
arrivé,20064,VERB,arriver,False,False,True
hasard,19969,NOUN,hasard,False,False,True
tomber,19858,VERB,tomber,False,False,True
don,19786,NOUN,don,False,False,True
passait,19761,VERB,passer,False,False,True
gauche,19701,NOUN,gauche,False,False,True
vis,19701,NOUN,vis,False,False,True
mauvais,19665,ADJ,mauvais,False,False,True
foule,19634,NOUN,foule,False,False,True
vivement,19536,ADV,vivement,False,False,True
paraissait,19498,VERB,paraître,False,False,True
manière,19450,NOUN,manière,False,False,True
parlait,19443,VERB,parler,False,False,True
surprise,19405,NOUN,surprise,False,False,True
messieurs,19362,NOUN,monsieur,False,False,True
français,19333,ADJ,français,False,False,True
seconde,19266,ADJ,second,False,False,True
affaires,19222,NOUN,affaire,False,False,True
hier,19205,ADV,hier,False,False,True
journée,19164,NOUN,journée,False,False,True
poitrine,19103,NOUN,poitrine,False,False,True
chevaux,19092,NOUN,cheval,False,False,True
guerre,19087,NOUN,guerre,False,False,True
chevalier,19063,NOUN,chevalier,False,False,True
présent,19030,ADJ,présent,False,False,True
heureuse,18956,ADJ,heureux,False,False,True
guère,18946,ADV,guère,False,False,True
restait,18906,VERB,rester,False,False,True
riche,18825,ADJ,riche,False,False,True
escalier,18822,NOUN,escalier,False,False,True
comprendre,18810,VERB,comprendre,False,False,True
veille,18801,NOUN,veille,False,False,True
départ,18801,NOUN,départ,False,False,True
dîner,18750,NOUN,dîner,False,False,True
étrange,18717,ADJ,étrange,False,False,True
quitter,18689,VERB,quitter,False,False,True
oreille,18544,NOUN,oreille,False,False,True
nouvelles,18495,ADJ,nouveau,False,False,True
grandes,18487,ADJ,grand,False,False,True
arriver,18480,VERB,arriver,False,False,True
doucement,18411,ADV,doucement,False,False,True
midi,18375,VERB,midi,False,False,True
entra,18337,VERB,entrer,False,False,True
sentiment,18332,NOUN,sentiment,False,False,True
laissa,18331,VERB,laisser,False,False,True
église,18328,NOUN,église,False,False,True
sortit,18317,VERB,sortir,False,False,True
répliqua,18296,VERB,répliquer,False,False,True
marche,18248,NOUN,marche,False,False,True
dois,18237,VERB,devoir,False,False,True
autrefois,18229,ADV,autrefois,False,False,True
faite,18219,VERB,faire,False,False,True
propre,18172,ADJ,propre,False,False,True
existence,18158,NOUN,existence,False,False,True
connais,18114,VERB,connaître,False,False,True
situation,18014,NOUN,situation,False,False,True
brave,17967,ADJ,brave,False,False,True
brusquement,17952,ADV,brusquement,False,False,True
arrivée,17899,NOUN,arrivée,False,False,True
beauté,17896,NOUN,beauté,False,False,True
haute,17863,ADJ,haut,False,False,True
passe,17816,VERB,passer,False,False,True
jolie,17795,ADJ,joli,False,False,True
lettres,17787,NOUN,lettre,False,False,True
perdre,17748,VERB,perdre,False,False,True
arbres,17721,NOUN,arbre,False,False,True
fini,17688,VERB,finir,False,False,True
laissé,17678,VERB,laisser,False,False,True
idées,17621,NOUN,idée,False,False,True
sombre,17617,ADJ,sombre,False,False,True
rester,17596,VERB,rester,False,False,True
genoux,17561,ADJ,genou,False,False,True
entrée,17530,NOUN,entrée,False,False,True
confiance,17527,NOUN,confiance,False,False,True
intérêt,17381,NOUN,intérêt,False,False,True
voulut,17368,VERB,vouloir,False,False,True
connaître,17351,VERB,connaître,False,False,True
portait,17349,VERB,porter,False,False,True
amie,17330,NOUN,amie,False,False,True
robe,17299,NOUN,robe,False,False,True
maman,17235,NOUN,maman,False,False,True
vieillard,17196,ADJ,vieillard,False,False,True
volonté,17186,NOUN,volonté,False,False,True
parlé,17180,VERB,parler,False,False,True
partout,17150,ADV,partout,False,False,True
large,17138,ADJ,large,False,False,True
tante,17096,NOUN,tante,False,False,True
douce,17069,ADJ,doux,False,False,True
libre,17002,ADJ,libre,False,False,True
chapitre,16980,NOUN,chapitre,False,False,True
sujet,16913,NOUN,sujet,False,False,True
aimer,16903,VERB,aimer,False,False,True
pitié,16900,NOUN,pitié,False,False,True
cria,16873,VERB,crier,False,False,True
paraît,16832,VERB,paraître,False,False,True
doux,16832,ADJ,doux,False,False,True
avenir,16693,NOUN,avenir,False,False,True
pleine,16679,ADJ,plein,False,False,True
endroit,16584,NOUN,endroit,False,False,True
expression,16571,NOUN,expression,False,False,True
désir,16536,NOUN,désir,False,False,True
tranquille,16529,NOUN,tranquille,False,False,True
forme,16487,NOUN,forme,False,False,True
ferme,16438,ADJ,ferme,False,False,True
scène,16388,NOUN,scène,False,False,True
prix,16376,NOUN,prix,False,False,True
lentement,16314,ADV,lentement,False,False,True
papier,16285,NOUN,papier,False,False,True
passage,16269,NOUN,passage,False,False,True
regards,16258,NOUN,regard,False,False,True
regarder,16252,VERB,regarder,False,False,True
but,16195,NOUN,but,False,False,True
visite,16047,NOUN,visite,False,False,True
pauvres,16040,ADJ,pauvre,False,False,True
justice,16006,NOUN,justice,False,False,True
caractère,15945,NOUN,caractère,False,False,True
armes,15910,NOUN,arme,False,False,True
beaux,15906,ADJ,beal,False,False,True
conversation,15822,NOUN,conversation,False,False,True
moitié,15820,NOUN,moitié,False,False,True
cents,15819,VERB,cent,False,False,True
porter,15795,VERB,porter,False,False,True
train,15753,NOUN,train,False,False,True
habitude,15706,NOUN,habitude,False,False,True
appelle,15698,VERB,appeler,False,False,True
réponse,15695,NOUN,réponse,False,False,True
venue,15689,VERB,venir,False,False,True
liberté,15661,NOUN,liberté,False,False,True
danger,15661,NOUN,danger,False,False,True
voit,15630,VERB,voir,False,False,True
fou,15613,ADJ,fou,False,False,True
crime,15571,NOUN,crime,False,False,True
conscience,15543,NOUN,conscience,False,False,True
regardant,15538,VERB,regarder,False,False,True
village,15515,NOUN,village,False,False,True
laisse,15500,VERB,laisse,False,False,True
reçu,15445,VERB,recevoir,False,False,True
passion,15445,NOUN,passion,False,False,True
sort,15425,VERB,sortir,False,False,True
sainte,15421,ADJ,saint,False,False,True
interrompit,15376,VERB,interrompre,False,False,True
campagne,15368,NOUN,campagne,False,False,True
basse,15357,ADJ,bas,False,False,True
cou,15342,NOUN,cou,False,False,True
manger,15337,VERB,manger,False,False,True
cris,15309,NOUN,cri,False,False,True
davantage,15290,ADV,davantage,False,False,True
marquise,15281,NOUN,marquis,False,False,True
cru,15274,VERB,croire,False,False,True
espoir,15249,NOUN,espoir,False,False,True
princesse,15222,NOUN,princesse,False,False,True
croyait,15216,VERB,croire,False,False,True
certainement,15202,ADV,certainement,False,False,True
aperçut,15120,VERB,apercevoir,False,False,True
grave,15113,ADJ,grave,False,False,True
exemple,15069,NOUN,exemple,False,False,True
rêve,15041,NOUN,rêve,False,False,True
propos,14961,NOUN,propos,False,False,True
jambes,14951,NOUN,jambe,False,False,True
chapeau,14936,NOUN,chapeau,False,False,True
nez,14909,NOUN,nez,False,False,True
occasion,14869,NOUN,occasion,False,False,True
donna,14856,VERB,donner,False,False,True
assis,14850,VERB,asseoir,False,False,True
livres,14837,NOUN,livre,False,False,True
palais,14835,NOUN,palais,False,False,True
moindre,14815,ADJ,moindre,False,False,True
personnes,14808,NOUN,personne,False,False,True
médecin,14796,NOUN,médecin,False,False,True
revint,14791,VERB,revenir,False,False,True
connaissait,14763,VERB,connaître,False,False,True
arriva,14736,VERB,arriver,False,False,True
arrive,14733,VERB,arriver,False,False,True
revenir,14733,VERB,revenir,False,False,True
doigts,14725,NOUN,doigt,False,False,True
resta,14706,VERB,rester,False,False,True
police,14702,NOUN,police,False,False,True
arrière,14675,NOUN,arrière,False,False,True
faute,14662,NOUN,faute,False,False,True
ouvrir,14654,VERB,ouvrir,False,False,True
juge,14602,NOUN,juge,False,False,True
année,14573,NOUN,année,False,False,True
quelquefois,14560,ADV,quelquefois,False,False,True
monseigneur,14538,NOUN,monseigneur,False,False,True
