word,global_frequency
crains,5837
offre,5837
tromper,5836
boulevard,5825
quitte,5823
poing,5823
criait,5820
jetait,5818
congé,5817
renseignements,5817
mienne,5813
germain,5809
perte,5798
remarquer,5794
john,5792
répète,5790
gardait,5790
prudence,5788
obéir,5787
inquiet,5786
reproche,5782
guillaume,5781
rayon,5780
menace,5778
deviné,5778
juger,5772
livrer,5767
anne,5766
sœurs,5761
printemps,5759
naturelle,5757
commun,5751
paille,5751
disposition,5749
observer,5748
londres,5748
occupé,5747
talent,5741
militaire,5741
secondes,5738
restée,5736
poussé,5734
vécu,5731
ouvre,5731
chaud,5731
commencé,5727
aimais,5722
motif,5720
pousser,5719
approche,5713
muraille,5706
clarté,5702
inconnue,5700
couché,5699
habitudes,5695
venus,5694
valentine,5694
abandonner,5693
rang,5690
aveugle,5688
vendre,5681
hein,5681
auteur,5680
puissant,5678
plaisirs,5669
apporter,5665
osé,5664
ouvriers,5663
brusque,5662
paysan,5660
apparut,5658
voisins,5658
résolu,5646
jouait,5645
révolution,5645
réussi,5642
temple,5641
devoirs,5639
étude,5637
choix,5636
bateau,5633
agent,5632
procès,5627
teint,5627
antoinette,5626
victor,5624
plaindre,5617
points,5616
appelé,5616
barque,5607
cœurs,5606
précautions,5602
séjour,5597
maigre,5591
rend,5590
réserve,5589
comptait,5588
espagne,5588
trompe,5588
généreux,5587
fière,5586
sûreté,5583
apprit,5582
essayer,5580
donnée,5576
enlever,5574
souriait,5572
boutique,5570
ceinture,5570
foyer,5566
sincère,5563
rené,5562
témoins,5560
souviens,5553
indifférence,5550
osait,5547
